Index,Stock Code,FilteredBy
1,000158,Filter1
2,600081,Filter1
3,600996,Filter1
4,600579,Filter2
5,603189,Filter1
6,002212,Filter1
7,603270,Filter1
8,002199,Filter1
9,600178,Filter1
10,000062,Filter1
11,002380,Filter2
12,300022,Filter1
13,600839,Filter1
14,002354,Filter1
15,600126,Filter1
16,600654,Filter1
17,002253,Filter1
18,601606,Filter1
19,600666,Filter1
20,002695,Filter1
21,000958,Filter1
22,600797,Filter1
23,600698,Filter1
24,002131,Filter1
25,002542,Filter1
26,002044,Filter1
27,300277,Filter1
28,688435,Filter1
29,300578,Filter1
30,688326,Filter1
31,688225,Filter1
32,688207,Filter2
33,300379,Filter1
34,301316,Filter1
35,688685,Filter1
36,002467,Filter1
37,300184,Filter1
38,301060,Filter1
39,688369,Filter1
40,300326,Filter2
41,300074,Filter2
42,688299,Filter1
43,300391,Filter1
44,301230,Filter1
45,688197,
46,688656,Filter1
47,002065,Filter1
48,300895,Filter1
49,688256,Filter1
50,688053,Filter1
51,300249,Filter2
52,002456,Filter1
53,688227,Filter1
54,600228,Filter1
55,688109,Filter2
56,688500,
57,002529,
58,300359,Filter2
59,300676,Filter1
60,301157,Filter2
61,300003,Filter1
62,300434,Filter2
63,301052,Filter2
64,688393,Filter1
65,300633,
66,300253,Filter1
67,002583,Filter1
68,300049,
69,002607,Filter2
70,601003,Filter1
71,600189,
72,000066,Filter1
73,688222,Filter1
74,603078,Filter2
75,688071,Filter1
76,300662,Filter2
77,300730,Filter2
78,300270,Filter1
79,688426,Filter2
80,300785,Filter2
81,002102,Filter2
82,300805,Filter3
83,002265,Filter2
84,688739,Filter2
85,300454,Filter1
86,002640,Filter2
87,300143,Filter2
88,002496,Filter2
89,688737,Filter1
90,300790,Filter1
91,300768,Filter1
92,600636,
93,002850,Filter1
94,688051,Filter1
95,002582,Filter2
96,603708,Filter3
97,688037,Filter1
98,603789,Filter2
99,000715,Filter2
100,688552,Filter1
101,301127,Filter2
102,002575,Filter1
103,002195,Filter2
104,688579,Filter1
105,688293,Filter2
106,300767,Filter3
107,300348,Filter1
108,300986,Filter1
109,688568,Filter1
110,301215,Filter1
111,300572,Filter2
112,603629,Filter1
113,300288,Filter1
114,301370,Filter1
115,000595,Filter1
116,600530,Filter2
117,002421,Filter2
118,000793,Filter2
119,300806,Filter1
120,003001,Filter2
121,688253,Filter3
122,600537,Filter1
123,300324,Filter1
124,300959,Filter3
125,688030,Filter2
126,000985,Filter2
127,300892,Filter2
128,688479,Filter1
129,688661,Filter1
130,688089,Filter2
131,300698,Filter1
132,600355,Filter1
133,301160,Filter1
134,688627,Filter1
135,300613,Filter1
136,300523,Filter1
137,300369,Filter2
138,301288,
139,001270,Filter3
140,002956,Filter2
141,002819,Filter2
142,300047,Filter2
143,002153,Filter1
144,688046,Filter2
145,000526,
146,688358,Filter2
147,301369,Filter2
148,300616,Filter2
149,300789,Filter2
150,301159,Filter1
151,000668,Filter2
152,600588,Filter1
153,688132,Filter2
154,688175,Filter2
155,600238,Filter3
156,688619,Filter2
157,300755,Filter2
158,002075,Filter1
159,601728,Filter2
160,688271,Filter2
161,002703,Filter1
162,002971,Filter2
163,300170,Filter2
164,002777,Filter1
165,301017,Filter2
166,600838,Filter3
167,300093,Filter1
168,002364,Filter2
169,600892,Filter2
170,300081,Filter2
171,688793,
172,300406,
173,688449,
174,600735,Filter2
175,601360,Filter1
176,300352,Filter1
177,300072,Filter2
178,301299,Filter2
179,301153,
180,688653,Filter1
181,300229,Filter2
182,300871,Filter2
183,688202,Filter1
184,600130,
185,300494,Filter1
186,688302,
187,300226,Filter2
188,001313,Filter2
189,002801,Filter1
190,688511,Filter1
191,600990,Filter1
192,688080,Filter1
193,002739,
194,688401,Filter2
195,300290,Filter1
196,688260,
197,002279,Filter2
198,605567,Filter2
199,600738,Filter2
200,002369,Filter1
201,688331,
202,002187,Filter2
203,301236,Filter1
204,600421,Filter1
205,600775,Filter2
206,300264,Filter2
207,603579,Filter2
208,603665,
209,001223,Filter1
210,601010,Filter2
211,688160,Filter2
212,301306,Filter1
213,000659,Filter2
214,688171,Filter2
215,688201,Filter2
216,000670,Filter3
217,000059,Filter2
218,603127,Filter2
219,002246,
220,688236,
