Index,Stock Code
1,600650
2,600845
3,002639
4,603010
5,603219
6,600355
7,003016
8,603117
9,600173
10,300438
11,601162
12,300623
13,688591
14,300661
15,300817
16,301382
17,603843
18,688319
19,688143
20,300638
21,301486
22,300693
23,300179
24,300383
25,301361
26,300541
27,603290
28,688138
29,600982
30,688433
31,688220
32,300027
33,603319
34,300077
35,300154
36,603040
37,600363
38,002922
39,688048
40,600340
41,300682
42,002281
43,600171
44,600310
45,300547
46,688660
47,000736
48,603650
49,002402
50,603486
51,688173
52,301291
53,688631
54,002243
55,300421
56,300684
57,300484
58,688667
59,301510
60,688362
61,002765
62,300173
63,301326
64,601233
65,603848
66,600480
67,301122
68,300488
69,603197
70,688601
71,603613
72,301018
73,300947
74,301027
75,301069
76,300377
77,300779
78,600835
79,688381
80,300694
81,600203
82,688261
83,300671
84,300499
85,601216
86,001309
87,600839
88,603327
89,002945
90,688499
91,688052
92,300700
93,688798
94,300046
95,600622
96,605060
97,002421
98,300870
99,002640
100,600206
101,002068
102,300339
103,300322
104,002245
105,688219
106,300618
107,688686
108,688693
109,300604
110,002006
111,300872
112,002135
113,600570
114,001696
115,000560
116,300229
117,603950
118,600133
119,688159
120,688595
121,603275
122,002886
123,603298
124,601011
125,688089
126,300735
127,301322
128,600875
129,603322
130,688116
131,603887
132,002086
133,688286
134,688012
135,002583
136,688385
137,300223
138,002475
139,300680
140,600182
141,688475
142,688087
143,600246
144,301085
145,002460
146,300703
147,300657
148,300286
149,603228
150,600800
151,603306
152,688299
153,301080
154,600230
155,301165
156,300245
157,300295
158,688107
159,002906
160,600322
161,600635
162,688368
163,688127
164,300486
165,002575
166,600651
167,002965
168,603085
169,300814
170,688061
171,300568
172,688093
173,002594
174,301071
175,600383
176,002993
177,603206
178,002387
179,300275
180,688332
181,688484
182,000679
183,300576
184,300709
185,688234
186,002947
187,002205
188,603052
189,603667
190,688458
191,301314
192,300932
193,300390
194,301321
195,002324
196,300474
197,300444
198,002063
199,002979
200,002536
201,002779
202,300731
203,002132
204,688249
205,688265
206,300528
207,300493
208,000925
209,300355
210,605111
211,600657
212,688466
213,301091
214,300679
215,603160
216,688311
217,688347
218,300590
219,300337
220,688711
221,300672
222,002413
223,300552
224,301328
225,600609
226,300293
227,688312
228,603083
229,600596
230,605033
231,300002
232,600879
233,688111
234,000099
235,002285
236,300980
237,002145
238,600602
239,600060
240,688565
241,002368
242,688508
243,301252
244,300409
245,600397
246,300795
247,600446
248,002611
249,603039
250,300143
251,300479
252,603583
253,600368
254,002373
255,600641
256,002009
257,688515
258,603920
259,600894
260,600184
261,688160
262,688588
263,688028
264,300076
265,002892
266,688618
267,605286
268,002520
269,000558
270,601456
271,300522
272,301355
273,300996
274,600606
275,002878
276,002915
277,600409
278,688498
279,600460
280,605358
281,002156
282,300373
283,002170
284,600754
285,300155
286,000948
287,300284
288,301010
289,300450
290,301095
291,000532
292,301208
293,301489
294,300654
295,688567
296,600955
297,603966
298,300024
299,002403
300,301078
301,600183
302,600491
303,300085
304,603758
305,002820
306,688679
307,000936
308,688622
309,688409
310,300243
311,688150
312,300645
313,300697
314,688379
315,002232
316,603489
317,002398
318,300503
319,688981
320,600155
321,603602
322,301325
323,002042
324,688226
325,603579
326,688156
327,603277
328,301001
329,300913
330,688396
331,601519
332,300757
333,300895
334,600252
335,002960
336,300853
337,603100
338,601599
339,300292
340,600100
341,603926
342,300346
343,688206
344,300666
345,002824
346,002119
347,002717
348,603109
349,002733
350,600615
351,002126
352,002371
353,300188
354,002410
355,688633
356,301499
357,301377
358,002709
359,600619
360,002358
361,600830
362,300145
363,603958
364,000519
365,300133
366,002580
367,688380
368,300073
369,002825
370,688082
371,300542
372,600718
373,688070
374,603863
375,002077
376,603360
377,002208
378,600679
379,688313
380,688539
381,600880
382,002670
383,688200
384,300532
385,300615
386,300432
387,688051
388,688690
389,600198
390,600649
391,603596
392,002227
393,688130
394,300713
395,603416
396,300343
397,300513
398,688306
399,301248
400,300433
401,688391
402,600283
403,605580
404,300054
405,603776
406,002885
407,002829
408,603137
409,002465
410,001266
411,301005
412,002380
413,300727
414,300203
415,002512
416,000702
417,002607
418,300423
419,601933
420,301099
421,600745
422,300141
423,001288
424,301218
425,688007
426,002920
427,002777
428,001319
429,301155
430,300756
431,301383
432,000530
433,000503
434,300644
435,603089
436,002795
437,000680
438,002707
439,002384
440,300212
441,000016
442,688662
443,605179
444,300578
445,603716
446,600520
447,301338
448,600580
449,688772
450,600410
451,688118
452,002713
453,603867
454,002049
455,002767
456,688655
457,603153
458,600686
459,688432
460,603189
461,605555
462,002075
463,688533
464,605077
465,002133
466,600601
467,600141
468,001202
469,001339
470,688141
471,000600
472,002085
473,000059
474,002401
475,300975
476,002094
477,605589
478,688045
479,600653
480,000608
481,300738
482,688079
483,000627
484,000528
485,600825
486,688210
487,603722
488,688592
489,300207
490,688123
491,003005
492,688630
493,688522
494,600895
495,600563
496,000759
497,000514
498,688377
499,300379
500,603759
501,000338
502,603260
503,605088
504,000750
505,002312
506,603912
507,688205
508,600215
509,688162
510,301518
511,002244
512,301040
513,301061
514,300105
515,001283
516,600576
517,601921
518,688049
519,300426
520,002026
521,002347
522,600592
523,300047
524,300655
525,301306
526,600810
527,600729
528,688209
529,002405
530,605376
531,300466
532,300369
533,301186
534,600006
535,002987
536,688518
537,300059
538,000988
539,688699
540,600738
541,000938
542,688305
543,688201
544,300211
545,688689
546,688610
547,300880
548,600292
549,688037
550,002933
551,688050
552,300130
553,603629
554,688450
555,600734
556,300136
557,603196
558,300408
559,688571
560,600977
561,601099
562,002695
563,300304
564,300572
565,603236
566,300918
567,002138
568,603518
569,688549
570,600783
571,300605
572,000021
573,300921
574,300475
575,688589
576,300014
577,002667
578,688343
579,002469
580,600577
581,300456
582,002741
583,300848
584,300135
585,300777
586,002837
587,688095
588,301067
589,002423
590,002361
591,601226
592,688289
593,603933
594,300215
595,600496
596,300007
597,300494
598,600503
599,603690
600,688392
601,688786
602,603927
603,600981
604,301029
605,688778
606,300712
607,000006
608,688435
609,002681
610,603316
611,300113
612,603901
613,002185
614,688733
615,603068
616,600110
617,002797
618,688350
619,688682
620,600131
621,300250
622,300131
623,000717
624,300726
625,300075
626,000951
627,688230
628,688102
629,688408
630,688562
631,301512
632,600769
633,601166
634,002948
635,605499
636,688355
637,600882
638,603108
639,301185
640,603203
641,300328
642,688479
643,689009
644,603130
645,688099
646,301390
647,603615
648,002331
649,002226
650,603799
651,600143
652,002362
653,688617
654,300035
655,300624
656,300510
657,688472
658,603213
659,603861
660,688510
661,300319
662,603138
663,002268
664,300366
665,301012
666,002438
667,605277
668,605011
669,600584
670,600816
671,688352
672,600864
673,600478
674,301308
675,300659
676,603421
677,301171
678,002526
679,300909
680,600604
681,002599
682,600268
683,300100
684,001373
685,688382
686,002105
687,688609
688,301102
689,605198
690,002375
691,300602
692,688548
693,002523
694,002046
695,002624
696,002753
697,301226
698,300739
699,605158
700,603038
701,300291
702,301349
703,300264
704,002673
705,600302
706,000533
707,600552
708,300327
709,300567
710,688233
711,002849
712,002383
713,688330
714,688132
715,600869
716,000631
717,688259
718,300152
719,300052
720,603261
721,300900
722,300019
723,002448
724,603636
725,600079
726,300457
727,688611
728,000536
729,301366
730,300033
731,002506
732,688560
733,603081
734,688232
735,688182
736,002255
737,300988
738,300248
739,603166
740,002757
741,603011
742,600850
743,688172
744,688766
745,300919
746,688199
747,002692
748,688030
749,002184
750,688251
751,600877
752,600779
753,600983
754,600526
755,300803
756,688403
757,000712
758,000670
759,688032
760,300177
761,300380
762,688216
763,002167
764,600796
765,688262
766,601777
767,002664
768,688066
769,300545
770,603506
771,688005
772,688582
773,300613
774,002178
775,300134
776,600776
777,603315
778,300354
779,300348
780,002895
781,688416
782,000058
783,603600
784,603721
785,000520
786,002079
787,600703
788,301150
789,000066
790,300845
791,600707
792,600506
793,688578
794,600109
795,301180
796,300706
797,301219
798,002008
799,300120
800,301297
801,300260
802,688367
803,002949
804,300670
805,600191
806,301360
807,603708
808,688020
809,002236
810,688035
811,600618
812,605305
813,601108
814,603357
815,688478
816,603738
817,300773
818,300690
819,600390
820,605178
821,600369
822,301498
823,600476
824,300489
825,300031
826,600621
827,301007
828,002543
829,603398
830,688401
831,605122
832,002596
833,002277
834,688489
835,688722
836,300424
837,300349
838,000570
839,300005
840,002322
841,301317
842,002351
843,688036
844,600533
845,000677
846,001299
847,000014
