序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,836871,派特尔,16.51,30.0,3.81,122321.0,195151409.4,28.27,16.51,12.92,13.05,12.7,10.92,30.45,37.98,4.79,1275556260.0,663217712.0,0.0,0.0,14.26,48.6
2,839493,并行科技,140.07,30.0,32.32,101157.0,1285458224.61,27.8,140.07,110.12,113.0,107.75,1.68,31.19,2028.37,23.53,8156276100.0,4543250010.0,0.0,0.0,75.97,97.81
3,832171,志晟信息,23.55,29.97,5.43,186831.0,406013570.09,31.4,23.55,17.86,17.86,18.12,3.99,28.34,-23.2,11.01,2360492684.0,1552581038.0,0.0,0.0,11.14,13.17
4,839946,华阳变速,10.67,29.96,2.46,471344.0,463155465.25,25.33,10.67,8.59,9.0,8.21,8.57,47.35,-78.41,6.45,1440348027.0,1062065125.0,0.0,0.0,1.04,68.03
5,834770,艾能聚,21.29,23.06,3.99,215858.0,430097079.88,27.8,21.85,17.04,17.15,17.3,3.17,26.36,50.55,4.7,2770514006.0,1743519002.0,-0.05,0.09,-22.1,36.04
6,837344,三元基因,21.44,21.13,3.74,38141.0,76392961.64,23.28,21.66,17.54,17.69,17.7,6.01,3.36,165.23,4.28,2611606400.0,2434743466.0,-0.09,0.56,-15.19,20.52
7,832978,开特股份,19.45,20.28,3.28,205322.0,391158284.07,13.79,20.16,17.93,18.25,16.17,6.39,20.5,27.54,5.52,3486635553.0,1948247139.0,0.0,0.31,10.26,44.07
8,300846,首都在线,18.52,20.03,3.09,1194167.0,2156470148.06,9.79,18.52,17.01,17.01,15.43,1.99,30.6,-47.47,8.63,9268559018.0,7227573586.0,0.0,0.0,32.66,33.14
9,301208,中亦科技,43.19,20.01,7.2,217830.0,899834224.67,20.7,43.19,35.74,35.81,35.99,3.14,49.45,71.81,3.47,5182802591.0,1902478901.0,0.0,0.0,12.77,12.04
10,688048,长光华芯,56.52,20.0,9.42,204530.0,1122355258.0,17.28,56.52,48.38,50.0,47.1,2.26,20.53,-117.89,3.3,9963342378.0,5630829756.0,0.0,0.02,19.85,44.96
