序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,838924,广脉科技,26.26,30.0,6.06,149598.0,372230120.31,21.73,26.26,21.87,21.9,20.2,1.83,23.93,91.93,9.48,2824827590.0,1641587073.0,0.0,0.0,41.56,74.37
2,836149,旭杰科技,15.08,30.0,3.48,154599.0,217065154.07,24.83,15.08,12.2,12.31,11.6,4.24,31.59,217.74,6.0,1131235248.0,738102528.0,0.0,0.0,-19.79,31.02
3,839493,并行科技,182.09,30.0,42.02,66897.0,1159769285.76,15.77,182.09,160.0,162.04,140.07,0.89,20.62,2636.87,30.59,10603100700.0,5906192577.0,0.0,0.0,127.9,157.15
4,835305,云创数据,34.73,29.98,8.01,248263.0,790138695.11,23.95,34.73,28.33,29.0,26.72,1.98,30.61,-114.17,5.93,4597422821.0,2816633389.0,0.0,0.0,47.85,71.0
5,873167,新赣江,24.59,29.97,5.67,107663.0,236900180.67,26.37,24.59,19.6,20.6,18.92,2.38,25.77,64.47,3.69,1742478138.0,1027416110.0,0.0,0.0,33.13,74.77
6,832149,利尔达,14.72,25.6,3.0,345786.0,458581788.93,28.07,14.99,11.7,11.7,11.72,2.23,29.96,-95.8,8.32,6206393600.0,1698845887.0,0.14,-0.67,5.14,65.95
7,837092,汉鑫科技,57.2,25.58,11.65,72766.0,368462609.65,24.46,57.35,46.21,47.51,45.55,1.43,22.79,607.78,9.24,3550958840.0,1826379126.0,0.35,4.02,24.95,63.43
8,920116,星图测控,64.19,23.68,12.29,103000.0,605141239.9,30.21,67.43,51.75,52.49,51.9,2.09,39.43,109.43,16.71,7325683750.0,1676963750.0,0.16,-0.17,827.6,827.6
9,835207,众诚科技,25.16,22.73,4.66,152795.0,359108091.91,18.44,25.16,21.38,21.55,20.5,2.4,27.52,-64.32,7.76,2364914200.0,1396995615.0,0.28,0.6,13.95,40.72
10,300078,思创医惠,3.94,20.12,0.66,1752913.0,661217250.72,19.51,3.94,3.3,3.36,3.28,3.59,15.84,-11.72,5.55,4432863386.0,4360570265.0,0.0,0.0,6.49,29.61
11,300271,华宇软件,8.98,20.05,1.5,643168.0,543526014.32,17.65,8.98,7.66,7.7,7.48,2.34,8.07,-20.76,1.8,7290508844.0,7159237686.0,0.0,0.0,2.39,27.92
12,688365,光云科技,17.74,20.03,2.96,681926.0,1121107550.0,20.3,17.74,14.74,15.0,14.78,1.56,16.01,-101.64,7.76,7554129894.0,7554129894.0,0.0,0.0,100.68,56.85
13,688327,云从科技-UW,16.67,20.01,2.78,762175.0,1215443419.0,15.05,16.67,14.58,14.95,13.89,1.19,10.14,-25.49,13.51,17285769579.0,12535987696.0,0.0,0.0,34.33,37.77
14,688078,龙软科技,34.78,20.01,5.8,62787.0,207530860.0,13.18,34.78,30.96,31.98,28.98,4.42,8.61,38.76,3.35,2535218540.0,2535218540.0,0.0,0.0,15.59,32.7
15,688229,博睿数据,53.68,20.01,8.95,22896.0,115779666.0,17.17,53.68,46.0,46.0,44.73,1.24,5.16,-28.3,4.97,2383392000.0,2383392000.0,0.0,0.0,20.09,28.39
16,301220,亚香股份,58.36,20.01,9.73,91402.0,469076654.1,20.48,58.36,48.4,50.76,48.63,1.23,19.4,78.35,2.92,4715488000.0,2749339542.0,0.0,0.0,86.75,57.64
17,300766,每日互动,47.93,20.01,7.99,1251341.0,5503022307.2,17.35,47.93,41.0,41.01,39.94,1.66,35.18,2221.53,11.63,18796840243.0,17047408711.0,0.0,0.0,216.58,228.06
18,688272,富吉瑞,21.48,20.0,3.58,71453.0,144713980.0,19.22,21.48,18.04,18.05,17.9,5.98,9.4,111.59,3.25,1632480000.0,1632480000.0,0.0,0.0,12.28,31.22
19,688158,优刻得-W,28.68,20.0,4.78,1439930.0,4037809000.0,7.45,28.68,26.9,28.59,23.9,9.34,35.8,-58.97,5.25,12994766923.0,11536928881.0,0.0,0.0,90.56,105.15
20,688114,华大智造,66.0,20.0,11.0,94733.0,579123410.0,19.09,66.0,55.5,55.95,55.0,1.81,4.45,-44.5,3.43,27490066230.0,14053544274.0,0.0,0.0,31.71,41.06
21,688023,安恒信息,80.64,20.0,13.44,214970.0,1637145867.0,16.65,80.64,69.45,69.56,67.2,2.0,21.06,-18.41,3.51,8247246013.0,8230565549.0,0.0,0.0,62.71,97.65
22,301536,星宸科技,89.04,20.0,14.84,107315.0,864074981.62,22.95,89.04,72.01,74.22,74.2,1.03,28.32,143.29,12.95,37491182400.0,3374203478.0,0.0,0.0,81.23,11.44
23,300937,药易购,32.22,20.0,5.37,167311.0,503065757.39,22.53,32.22,26.17,26.84,26.85,5.89,26.71,165.94,3.64,3082380494.0,2018514436.0,0.0,0.0,13.45,28.78
