stock_code,total_gain,dates,daily_gains
000533,14.35,"2025-01-22,2025-01-21,2025-01-20","3.13,7.74,3.48"
001267,13.33,"2025-01-22,2025-01-21,2025-01-20","0.0,6.63,6.7"
002090,17.02,"2025-01-22,2025-01-21,2025-01-20","-3.0,10.02,10.0"
002117,14.02,"2025-01-22,2025-01-21,2025-01-20","2.89,10.03,1.1"
002130,14.86,"2025-01-22,2025-01-21,2025-01-20","0.0,4.87,9.99"
002296,14.8,"2025-01-22,2025-01-21,2025-01-20","4.16,10.0,0.64"
002319,12.51,"2025-01-22,2025-01-21,2025-01-20","0.87,3.97,7.67"
002364,15.42,"2025-01-22,2025-01-21,2025-01-20","6.62,0.45,8.35"
002463,14.190000000000001,"2025-01-22,2025-01-21,2025-01-20","8.63,2.09,3.47"
002484,13.21,"2025-01-22,2025-01-21,2025-01-20","5.35,1.36,6.5"
002691,30.12,"2025-01-22,2025-01-21,2025-01-20","9.99,10.07,10.06"
002729,13.54,"2025-01-22,2025-01-21,2025-01-20","-6.47,10.01,10.0"
002779,12.7,"2025-01-22,2025-01-21,2025-01-20","3.75,7.52,1.43"
002837,14.75,"2025-01-22,2025-01-21,2025-01-20","7.46,2.16,5.13"
002876,14.96,"2025-01-22,2025-01-21,2025-01-20","5.79,4.62,4.55"
002965,16.54,"2025-01-22,2025-01-21,2025-01-20","4.42,2.11,10.01"
003030,13.489999999999998,"2025-01-22,2025-01-21,2025-01-20","-6.54,10.01,10.02"
003041,15.510000000000002,"2025-01-22,2025-01-21,2025-01-20","-0.5,6.03,9.98"
300153,16.39,"2025-01-22,2025-01-21,2025-01-20","-2.02,0.22,18.19"
300170,13.95,"2025-01-22,2025-01-21,2025-01-20","-1.42,12.49,2.88"
300422,22.53,"2025-01-22,2025-01-21,2025-01-20","2.44,20.09,nan"
300458,13.790000000000001,"2025-01-22,2025-01-21,2025-01-20","-4.1,17.75,0.14"
300502,17.46,"2025-01-22,2025-01-21,2025-01-20","6.23,4.35,6.88"
