stock_code,close_price,MA120,MA250,price_x1.1,filter_reason
002771,17.3,18.16,18.6,19.03,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002453,5.18,4.97,5.53,5.7,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
301633,92.16,,,101.38,
300391,4.98,5.27,4.86,5.48,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
688059,47.4,46.49,52.08,52.14,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
300767,9.62,9.75,10.43,10.58,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688065,43.39,41.39,43.57,47.73,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688166,30.21,29.43,30.26,33.23,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
600547,24.99,26.18,26.43,27.49,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688244,27.6,27.0,28.23,30.36,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
000668,6.85,7.53,7.58,7.54,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
688331,29.01,29.93,38.74,31.91,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
603668,11.25,11.91,12.64,12.38,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
688157,37.09,40.87,38.17,40.8,收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688398,14.79,13.98,16.99,16.27,收盘价*1.1 >= MA120 且 收盘价 <= MA250
601028,12.41,12.79,11.99,13.65,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
000975,16.56,16.95,16.9,18.22,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002258,8.44,8.01,8.63,9.28,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
600612,51.96,52.19,60.64,57.16,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
600845,28.82,28.95,31.1,31.7,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688231,13.76,13.91,14.91,15.14,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
605122,10.55,10.58,10.83,11.61,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
605369,30.29,29.75,30.68,33.32,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688776,50.23,51.12,57.56,55.25,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
600223,7.23,6.84,7.4,7.95,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
603918,12.37,11.95,12.79,13.61,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688323,12.13,12.01,12.3,13.34,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
