Index,Stock Code
1,603598
2,003033
3,002757
4,601727
5,002912
6,600851
7,002420
8,603135
9,603021
10,600184
11,600622
12,300835
13,688290
14,688390
15,300879
16,001282
17,301310
18,688143
19,300222
20,688717
21,301315
22,300840
23,300766
24,002674
25,002423
26,300378
27,301299
28,000917
29,300830
30,002245
31,600545
32,300972
33,600191
34,002795
35,688320
36,601818
37,601336
38,300918
39,688400
40,603516
41,003004
42,605555
43,300708
44,003015
45,600215
46,002530
47,300839
48,300785
49,301323
50,603214
51,300688
52,000632
53,301130
54,603836
55,300570
56,002629
57,002115
58,600618
59,601628
60,001296
61,603766
62,002076
63,688787
64,688529
65,301210
66,300528
67,688270
68,688767
69,688313
70,688350
71,301413
72,002583
73,688486
74,603329
75,688590
76,601319
77,688225
78,603666
79,603895
80,300403
81,300634
82,600705
83,603737
84,301141
85,002276
86,002942
87,000036
88,688677
89,300017
90,301071
91,002923
92,300245
93,300557
94,688375
95,603272
96,601020
97,002279
98,000678
99,600390
100,002978
101,300533
102,688048
103,688218
104,300353
105,002295
106,688686
107,002611
108,300716
109,603757
110,001255
111,301171
112,603323
113,300127
114,000543
115,002921
116,002973
117,300303
118,601658
119,603617
120,601398
121,301273
122,001380
123,300002
124,601229
125,300063
126,600619
127,300687
128,002470
129,600889
130,301033
131,600186
132,688502
133,300328
134,601166
135,300938
136,601328
137,605180
138,688155
139,300007
140,300290
141,300790
142,000576
143,002320
144,600350
145,603880
146,300825
147,301230
148,688046
149,301213
150,600153
151,600746
152,601665
153,300440
154,301248
155,600016
156,300749
157,600120
158,688185
159,300925
160,601577
161,301368
162,300661
163,688515
164,301021
165,601318
166,601988
167,600325
168,000638
169,688001
170,688279
171,603656
172,002823
173,300693
174,600000
175,601825
176,002862
177,002315
178,688701
179,688195
180,603004
181,002559
182,688292
183,002480
184,301498
185,688017
186,601288
187,601009
188,601077
189,688084
190,002936
191,605333
192,603226
193,300669
194,603600
195,300113
196,688277
197,601963
198,300910
199,003017
200,603103
201,688088
202,601916
203,688161
204,300148
205,600757
206,600015
207,600561
208,301382
209,002839
210,603992
211,603093
212,002807
213,688611
214,605507
215,603111
216,002095
217,301102
218,300263
219,600354
220,002032
221,300413
222,603530
223,688013
224,601999
225,002127
226,688095
227,688181
228,000558
229,688004
230,688592
231,300629
232,688003
233,603662
234,688027
235,603192
236,000096
237,600908
238,300058
239,600901
240,603506
241,300249
242,600265
243,688588
244,002791
245,000530
246,301459
247,300488
248,002527
249,002568
250,601187
251,000001
252,002988
253,000582
254,600458
255,688010
256,603095
257,301255
258,688222
259,002990
260,002825
261,603906
262,688698
263,000612
264,002536
265,688153
266,603159
267,603565
268,600530
269,600639
270,688125
271,603321
272,002558
273,601128
274,600267
275,688111
276,603090
277,300221
278,603897
279,600894
280,605300
281,601528
282,688696
283,600816
284,601919
285,600232
286,600108
287,300024
288,300988
289,300805
290,601838
291,300654
292,002948
293,000716
294,600605
295,603006
296,300674
297,688660
298,300853
299,300732
300,600496
301,002195
302,300997
303,300126
304,300224
305,600803
306,603213
307,000601
308,603429
309,301069
310,002809
311,688303
312,300124
313,301105
314,002712
315,301187
316,301222
317,301061
318,300363
319,002935
320,600883
321,002219
322,002657
323,000962
324,300195
325,603898
326,300889
327,300580
328,688383
329,688506
330,688377
331,002457
332,002142
333,301113
334,300503
335,301279
336,688203
337,605055
338,601997
339,002883
340,301290
341,603508
342,600864
343,688429
344,688132
345,002830
346,600269
347,001268
348,688179
349,688176
350,300288
351,688466
352,002607
353,688215
354,600448
355,300781
356,600020
357,600737
358,300385
359,002132
360,300721
361,688396
362,603991
363,600919
364,300135
365,605186
366,603018
367,300532
368,002889
369,301328
370,601162
371,000563
372,600909
373,600035
374,002357
375,600861
376,600729
377,300459
378,688291
379,000987
380,600292
381,600377
382,688271
383,688646
384,002958
385,600517
386,000628
387,000921
388,300174
389,600722
390,301055
391,002676
392,300384
393,600356
394,601728
395,601225
396,300192
397,300232
398,002526
399,600012
400,301052
401,002980
402,002961
403,002144
404,603648
405,300854
406,002046
407,601880
408,600233
409,002501
410,603817
411,301029
412,605001
413,600302
414,600967
415,300364
416,002290
417,000728
418,002492
419,002722
420,301300
421,300702
422,600051
423,300310
424,600638
425,002696
426,002975
427,688032
428,600488
429,603171
430,600284
431,002167
432,002701
433,002769
434,601933
435,600097
436,300652
437,300877
438,300164
439,600222
440,300340
441,603119
442,600339
443,002673
444,300806
445,600710
446,002500
447,600363
448,300247
449,301076
450,688189
451,002149
452,603937
453,600023
454,002998
455,688443
456,300592
457,300886
458,688556
459,600941
460,000726
461,601518
462,002438
463,605189
464,300577
465,603967
466,600177
467,600061
468,605566
469,601900
470,603859
471,605100
472,688285
473,002979
474,601198
475,688395
476,600853
477,600637
478,300329
479,600111
480,688076
481,300777
482,603330
483,300861
484,002479
485,601702
486,001202
487,300277
488,300624
489,600383
490,300564
491,603926
492,601555
493,300757
494,002736
495,603193
496,002311
497,603586
498,688115
499,002468
500,688067
501,002905
502,300834
503,600428
504,301220
505,605228
506,600606
507,300018
508,600668
509,601001
510,002747
511,301081
512,002228
513,300778
514,603999
515,603025
516,600193
517,688697
518,600655
519,605179
520,300133
521,300559
522,002708
523,603609
524,300966
525,603719
526,603535
527,688172
528,300235
529,002057
530,603655
531,300625
532,603519
533,603728
534,002909
535,603080
536,000900
537,002838
538,601216
539,600036
540,600736
541,000928
542,605188
543,300244
544,002163
545,600248
546,301317
547,001696
548,603385
549,603585
550,002514
551,603169
552,603168
553,600742
554,688089
555,300213
556,600482
557,300131
558,688786
559,688561
560,600368
561,300823
562,300608
563,300486
564,600839
565,600137
566,603855
567,300692
568,002367
569,600926
570,603041
571,603336
572,000702
573,300497
574,601298
575,600657
576,603337
577,603096
578,688272
579,301117
580,600410
581,300512
582,688360
583,600318
584,301298
585,300182
586,688610
587,003036
588,688295
589,603176
590,002926
591,605336
592,000623
593,600645
594,002009
595,301191
596,002871
597,300869
598,603275
599,300251
600,600825
601,688488
602,603216
603,601377
604,001230
605,300939
606,601098
607,000544
608,300816
609,300789
610,300597
611,002623
612,688399
613,600170
614,002029
615,301043
616,301353
617,000607
618,300959
619,000507
620,300041
621,603173
622,600288
623,603709
624,603183
625,605288
626,300963
627,300632
628,003032
629,600648
630,600081
631,002890
632,300860
633,002714
634,002437
635,603602
636,300306
637,000166
638,600694
639,002471
640,601108
641,000686
642,000548
643,300358
644,603681
645,002966
646,300883
647,300611
