Index,Stock Code
1,002130
2,000020
3,002209
4,603272
5,003041
6,601156
7,600255
8,002397
9,603901
10,600784
11,000882
12,301429
13,301469
14,688668
15,300528
16,002364
17,300843
18,300680
19,000021
20,600707
21,300952
22,300941
23,002319
24,001283
25,600577
26,688026
27,300100
28,300603
29,301296
30,600630
31,300252
32,301000
33,603222
34,688531
35,603196
36,688127
37,688038
38,301071
39,603825
40,605319
41,301012
42,600705
43,002681
44,603307
45,300221
46,002723
47,002484
48,301328
49,002390
50,002625
51,300412
52,688070
53,002616
54,300694
55,605088
56,603103
57,300840
58,300936
59,600398
60,600396
61,603018
62,688196
63,603259
64,002938
65,002881
66,300960
67,688136
68,002926
69,301356
70,002707
71,300750
72,002624
73,603311
74,603322
75,603618
76,688676
77,688089
78,300731
79,002518
80,002265
81,688679
82,301018
83,002826
84,301121
85,300921
86,688071
87,300809
88,300239
89,605055
90,300950
91,301525
92,301282
93,603214
94,002837
95,300705
96,002098
97,300441
98,600408
99,000530
100,001211
101,603669
102,300790
103,301157
104,600977
105,600491
106,000655
107,600560
108,301276
109,301028
110,301379
111,002400
112,301389
113,002947
114,688255
115,300586
116,300733
117,603703
118,688029
119,001234
120,001330
121,300848
122,300886
123,002423
124,300493
125,002759
126,688045
127,603221
128,301182
129,600689
130,300565
131,603016
132,300870
133,300641
134,300700
135,002536
136,688093
137,002890
138,301210
139,603887
140,600071
141,002630
142,301383
143,600510
144,300465
145,688696
146,605151
147,002876
148,002682
149,300069
150,688181
151,600694
152,688681
153,688131
154,688256
155,300433
156,002830
157,605196
158,300991
159,301203
160,300689
161,603062
162,603203
163,600138
164,688251
165,601577
166,300166
167,003011
168,301217
169,002467
170,600983
171,688221
172,002884
173,688220
174,300836
175,300310
176,688685
177,301055
178,300484
179,603100
180,300990
181,688336
182,603855
183,688355
184,300326
185,300933
186,002639
187,002922
188,603833
189,002701
190,300114
191,600272
192,300577
193,300381
194,301286
195,002662
196,300727
197,600581
198,688382
199,600778
200,001208
201,300044
202,600482
203,300738
204,603308
205,301325
206,002227
207,603506
208,002534
209,002187
210,301056
211,002226
212,688787
213,603211
214,000812
215,002916
216,002245
217,688768
218,688665
219,002823
220,605589
221,300703
222,300343
223,688215
224,000631
225,301358
226,300295
227,688257
228,300323
229,605155
230,002879
231,300816
232,002715
233,002465
234,603486
235,002780
236,000628
237,300328
238,002127
239,603920
240,301105
241,300238
242,002802
243,600710
244,002925
245,300126
246,301326
247,601616
248,300562
249,603677
250,600232
251,002494
252,603551
253,600507
254,300902
255,301202
256,300199
257,688046
258,600609
259,001202
260,301077
261,001309
262,002205
263,300889
264,300286
265,300355
266,300566
267,002295
268,688125
269,600562
270,600231
271,002909
272,688677
273,002292
274,000055
275,603665
276,301161
277,002112
278,688622
279,605277
280,002563
281,300819
282,000533
283,002324
284,600455
285,002463
286,300414
287,301073
288,603709
289,001209
290,688648
291,300012
292,002454
293,001282
294,688628
295,603527
296,300679
297,002332
298,003018
299,688152
300,603528
301,300450
302,600756
303,603119
304,300686
305,301279
306,300633
307,002866
308,002600
309,603966
310,002055
311,301063
312,603529
313,600218
314,688553
315,600222
316,301309
317,000963
318,300150
319,688179
320,000002
321,688581
322,603893
323,600160
324,301032
325,300179
326,605255
327,300854
328,301386
329,605376
330,300822
331,001260
332,688258
333,603086
334,301088
335,300509
336,000058
337,001314
338,600506
339,300377
340,600889
341,000045
342,002593
343,002284
344,600488
345,600106
346,605099
347,002789
348,605100
349,002084
350,001230
351,688656
352,002279
353,002664
354,603912
355,301132
356,300882
357,688183
358,001317
359,301178
360,002067
361,301377
362,688067
363,603037
364,600137
365,603090
366,688639
367,688235
368,603790
369,002028
370,301303
371,300068
372,300995
373,688226
374,300938
375,300918
376,600191
377,600584
378,301080
379,603165
380,003017
381,300145
382,300931
383,301078
384,301052
385,002392
386,002871
387,603660
388,300627
389,603385
390,300001
391,603305
392,603380
393,301388
394,603235
395,301280
396,002953
397,301125
398,603035
399,600099
400,603186
401,300817
402,605060
403,301085
404,300522
405,603012
406,300564
407,300626
408,002486
409,688266
410,603319
411,603192
412,688005
413,688418
414,688178
415,600885
416,300115
417,002066
418,600692
419,003008
420,300720
421,300289
422,603839
423,300685
424,688568
425,600433
426,301130
427,600363
428,603633
429,300207
430,002633
431,002384
432,300749
433,603229
434,002337
435,603269
436,600493
437,300164
438,300170
439,002658
440,002510
441,688114
442,605298
443,600293
444,301251
445,689009
446,300476
447,000818
448,002718
449,300920
450,300535
451,002204
452,603321
453,605228
454,603998
455,002809
456,688102
457,002594
458,000593
459,300701
460,300467
461,000665
462,603226
463,300976
464,301081
465,301263
466,688610
467,000601
468,003027
469,600418
470,603329
471,688182
472,300907
473,603122
474,603421
475,688565
476,000892
477,603706
478,301319
479,002598
480,002301
481,300752
482,300877
483,603303
484,603577
485,601900
486,601137
487,002962
488,002838
489,300599
490,300501
491,001301
492,300658
493,002489
494,603095
495,300442
496,301234
497,600456
498,301365
499,301113
500,600149
501,002856
502,301009
503,603052
504,301353
505,300120
506,300143
507,301291
508,002177
509,002303
510,301107
511,002792
512,301511
513,300654
514,002068
515,300375
516,000048
517,603725
518,300592
519,300215
520,300930
521,002368
522,002269
523,002351
524,688141
525,603299
526,603811
527,300468
528,601086
529,688388
530,001218
531,688116
532,300499
533,301273
534,603068
535,300283
536,688777
537,002363
538,605566
539,301228
540,688439
541,301082
542,300743
543,301399
544,600249
545,300388
546,603880
547,688611
548,300099
549,001268
550,603283
551,002882
552,300306
553,301320
554,002972
555,603773
556,300602
557,002969
558,605299
559,603861
560,002365
561,600476
562,603519
563,603193
564,688386
565,603648
566,002501
567,003010
568,300648
569,300494
570,688585
571,605003
572,002457
573,300771
574,300883
575,605009
576,300787
577,000881
578,000100
579,603291
580,300937
581,600716
582,300417
583,603022
584,601999
585,000931
586,301006
587,300177
588,600444
589,600468
590,603176
591,002437
592,002661
593,002353
594,603179
595,600769
596,300320
597,002921
598,300582
599,300906
600,300885
601,300807
602,301175
603,688171
604,301148
605,300292
606,301197
607,688663
608,301158
609,300371
610,600119
611,300056
612,603819
613,002239
614,300010
615,001328
616,300865
617,300853
618,300385
619,002899
620,300154
621,300384
622,600235
623,301020
624,603915
625,301287
626,603332
627,301042
628,603676
629,301045
630,688132
631,605018
632,300016
633,300739
634,000815
635,002273
636,301305
637,603877
638,605580
639,603060
640,300756
641,001210
642,300018
643,002566
644,601599
645,300514
646,600628
647,300693
648,301230
649,600645
650,600478
651,688013
652,603813
653,002377
654,301196
655,300503
656,603036
657,301008
658,002550
659,688247
660,600963
661,600079
662,603579
663,603115
664,300774
665,300868
666,002072
667,603256
668,300512
669,301222
670,002111
671,002451
672,688367
673,000153
674,301171
675,300573
676,001207
677,688296
678,300345
679,300363
680,002105
681,688368
682,301033
683,603630
684,600684
685,600533
686,002591
687,000620
688,603586
689,001225
690,600734
691,002973
692,600051
693,603501
694,600754
695,300644
696,603066
697,300611
698,600097
699,300195
700,000957
701,002036
702,301359
703,300232
704,603216
705,603601
706,601877
707,603130
708,300103
709,301041
710,301362
711,300155
712,002611
713,000936
714,002878
715,688307
716,001238
717,603085
718,300200
719,300386
720,603280
721,603507
722,301198
723,002998
724,001205
725,300211
726,300543
727,000565
728,300088
729,301135
730,601689
731,301043
732,600302
733,301397
734,002290
735,300265
736,300241
737,300571
738,301128
739,301007
740,301290
741,301395
742,002140
743,600580
744,002535
745,605208
746,605300
747,002492
748,600812
749,002099
750,301150
751,002020
752,688123
753,002488
754,300955
755,002817
756,688716
757,002469
758,605001
759,603950
760,001376
761,300453
762,300986
763,605189
764,301372
765,002551
766,300436
767,605169
768,300383
769,600561
770,301187
771,603612
772,002629
773,000850
774,603150
775,605259
776,301255
777,002074
778,002026
779,300909
780,600558
781,300228
782,688722
783,688733
784,300247
785,600791
786,002104
787,002851
788,300444
789,603987
790,300773
791,600292
792,000985
793,605507
794,688080
795,603236
796,603610
797,300692
798,300961
799,301066
800,000551
801,600745
802,300541
803,600327
804,300005
805,300423
806,300174
807,301499
808,300880
809,003033
810,600829
811,600449
812,002202
813,688036
814,603980
815,300594
816,300086
817,002376
818,300797
819,605268
820,600833
821,000823
822,603379
823,301332
824,002172
825,002614
826,000710
827,002606
828,002103
829,300014
830,300675
831,301413
832,300133
833,688379
834,002012
835,300335
836,601010
837,301138
838,688455
839,603158
840,603167
841,002741
842,603173
843,002476
844,300707
845,688616
846,002678
847,301031
848,688326
849,603766
850,300994
851,688079
852,002632
853,002622
854,000757
855,000151
856,600818
857,301555
858,301298
859,002627
860,002981
861,301172
862,300912
863,000759
864,688778
865,603817
866,603976
867,002696
868,000404
869,002613
870,002523
871,688314
872,601933
873,688291
874,601002
875,000676
876,002277
877,002698
878,300149
879,603328
880,300004
881,002935
882,002394
883,688068
884,002421
885,002409
886,001373
887,300176
888,600316
889,300879
890,002883
891,001299
892,603697
893,002756
894,002462
895,600651
896,301396
897,603967
898,000785
899,600738
900,300342
901,688278
902,002533
903,300610
904,000548
905,603508
906,603776
907,300947
908,300425
909,300319
910,002380
911,301068
912,688662
913,000718
914,300219
915,300642
916,600104
917,300446
918,600141
919,301361
920,002782
921,000955
922,300272
923,002527
924,301212
925,688582
926,002980
927,002017
928,002676
929,002093
930,600082
931,002669
932,300873
933,300768
934,002358
935,603201
936,300823
937,300979
938,300597
939,300779
940,301076
941,603286
942,301323
943,002911
944,603318
945,002835
946,600386
947,603315
948,600616
949,301190
950,300340
951,603161
952,688519
953,600156
954,600162
955,600668
956,603039
957,301003
958,002139
959,300230
960,300365
961,002584
962,300048
963,300801
964,600052
965,300939
966,300640
967,300279
968,603320
969,301213
970,600699
971,601218
972,603636
973,002106
974,001256
975,688041
976,300884
977,603182
978,603922
979,002849
980,002339
981,000573
982,300844
983,301448
984,002167
985,688607
986,300248
987,603183
988,600323
989,605305
990,688087
991,688162
992,300530
993,002719
994,301260
995,300859
996,600815
997,600579
998,002491
999,300400
1000,300942
1001,301368
1002,605499
1003,688506
1004,000409
1005,603155
1006,603121
1007,000863
1008,300266
1009,000407
1010,603797
1011,002888
1012,002412
1013,002651
1014,603926
1015,002357
1016,600336
1017,300121
1018,600837
1019,002928
1020,000698
1021,603006
1022,002479
1023,601518
1024,000953
1025,002607
1026,000586
1027,300092
1028,300716
1029,300932
1030,300259
1031,603656
1032,600819
1033,300445
1034,688129
1035,300763
1036,688678
1037,000605
1038,600768
1039,002599
1040,603609
1041,600448
1042,000727
1043,003023
1044,301183
1045,603726
1046,002355
1047,002671
1048,000411
1049,688330
1050,603075
1051,300911
1052,605166
1053,002483
1054,600319
1055,002161
1056,300893
1057,688400
1058,000089
1059,002779
1060,300973
1061,300192
1062,000852
1063,001319
1064,300625
1065,002979
1066,301289
1067,001339
1068,002705
1069,300732
1070,000576
1071,300063
1072,301211
1073,002628
1074,603958
1075,300777
1076,300915
1077,300968
1078,603568
1079,605167
1080,300687
1081,300421
1082,000859
1083,603408
1084,002635
1085,300302
1086,300497
1087,300828
1088,300440
1089,600278
1090,603678
1091,688558
1092,002845
1093,601231
1094,000811
1095,600802
1096,603217
1097,601595
1098,002853
1099,600268
1100,600322
1101,300789
1102,002558
1103,600980
1104,000524
1105,002448
1106,002395
1107,002795
1108,003002
1109,000519
1110,600288
1111,601818
1112,300105
1113,003036
1114,600350
1115,688098
1116,688165
1117,600853
1118,688222
1119,688351
1120,600883
1121,600979
1122,600604
1123,688466
1124,300181
1125,300946
1126,300184
1127,300160
1128,000802
1129,300628
1130,603587
1131,300019
1132,603515
1133,688055
1134,300711
1135,000026
1136,001332
1137,600103
1138,300276
1139,002023
1140,300570
1141,688567
1142,300082
1143,600854
1144,600666
1145,603798
1146,688419
1147,300054
1148,603181
1149,300967
1150,002321
1151,300263
1152,603680
1153,688191
1154,002029
1155,600729
1156,300085
1157,603041
1158,603080
1159,000678
1160,688501
1161,601777
1162,300234
1163,301232
1164,688606
1165,002144
1166,000007
1167,002194
1168,600742
1169,688197
1170,688306
1171,000025
1172,002420
1173,688111
1174,600020
1175,600016
1176,002185
1177,300021
1178,600682
1179,300963
1180,000677
1181,300507
1182,002993
1183,300508
1184,600960
1185,300303
1186,002136
1187,603933
1188,603111
1189,300652
1190,603758
1191,600776
1192,603030
1193,300185
1194,000570
1195,688286
1196,688543
1197,600770
1198,000526
1199,600638
1200,600206
1201,002298
1202,301109
1203,688578
1204,603355
1205,688109
1206,002570
1207,300650
1208,002877
1209,002342
1210,301498
1211,002562
1212,002660
1213,301185
1214,300203
1215,001323
1216,600824
1217,600067
1218,603999
1219,002152
1220,600237
1221,002474
1222,002315
1223,600012
1224,601127
1225,603218
1226,603829
1227,603607
1228,300664
1229,300872
1230,300838
1231,300322
1232,000571
1233,600239
1234,000659
1235,605388
1236,600509
1237,000156
1238,000725
1239,688203
1240,002970
1241,300296
1242,300632
1243,301270
1244,605500
1245,603995
1246,600571
1247,002950
1248,688518
1249,300802
1250,603365
1251,300079
1252,002162
1253,688186
1254,601929
1255,603170
1256,300360
1257,601628
1258,600526
1259,600569
1260,000563
1261,603169
1262,300722
1263,300903
1264,300488
1265,300981
1266,600868
1267,002556
1268,600794
1269,301398
1270,301061
1271,000159
1272,300793
1273,300304
1274,301281
1275,002697
1276,600826
1277,000610
1278,300258
1279,001288
1280,300615
1281,601116
1282,000910
1283,603906
1284,688202
1285,603681
1286,002686
1287,600650
1288,001313
1289,603585
1290,688393
1291,002046
1292,002403
1293,600126
1294,001380
1295,300824
1296,000638
1297,600210
1298,301019
1299,300058
1300,002589
1301,000421
1302,600113
1303,600495
1304,688292
1305,688200
1306,600835
1307,002442
1308,300821
1309,300901
1310,603270
1311,002891
1312,300935
1313,600817
1314,600841
1315,300182
1316,600731
1317,688259
1318,301459
1319,002522
1320,300662
1321,600076
1322,001333
1323,603600
1324,301419
1325,002281
1326,603538
1327,600606
1328,603990
1329,002228
1330,300690
1331,688311
1332,601377
1333,002241
1334,002001
1335,601222
1336,600982
1337,002248
1338,300227
1339,002579
1340,301314
1341,002806
1342,600390
1343,300193
1344,300135
1345,600827
1346,300945
1347,300081
1348,300352
1349,603696
1350,300387
1351,600000
1352,003021
1353,000036
1354,300407
1355,300622
1356,601789
1357,600173
1358,002195
1359,301550
1360,603323
1361,600343
1362,002406
1363,300684
1364,002318
1365,600736
1366,600094
1367,002184
1368,688150
1369,001296
1370,603180
1371,300351
1372,000402
1373,603929
1374,003001
1375,600172
1376,002148
1377,002398
1378,300975
1379,300758
1380,300971
1381,300277
1382,002210
1383,000608
1384,002334
1385,300072
1386,603261
1387,300197
1388,002638
1389,002330
1390,603908
1391,301313
1392,603937
1393,603015
1394,601098
1395,600527
1396,600100
1397,603989
1398,000599
1399,002930
1400,600518
1401,000566
1402,300409
1403,002186
1404,600667
1405,300811
1406,605333
1407,300173
1408,002231
1409,300834
1410,600512
1411,002659
1412,002722
1413,300688
1414,600735
1415,301165
1416,600850
1417,301179
1418,603583
1419,002441
1420,601368
1421,002863
1422,600279
1423,002788
1424,000801
1425,600796
1426,301117
1427,300251
1428,300102
1429,000639
1430,603477
1431,301103
1432,600640
1433,603897
1434,300459
1435,002846
1436,002517
1437,300855
1438,002946
1439,688371
1440,002328
1441,000973
1442,000958
1443,000755
1444,000798
1445,603733
1446,301267
1447,688096
1448,300270
1449,000977
1450,301086
1451,688272
1452,600351
1453,600055
1454,603002
1455,002500
1456,603728
1457,600391
1458,300039
1459,300148
1460,002085
1461,301099
1462,688557
1463,002396
1464,605050
1465,002375
1466,688525
1467,603048
1468,002791
1469,603227
1470,000726
1471,600727
1472,300608
1473,603353
1474,603219
1475,600751
1476,002961
1477,603025
1478,600865
1479,000652
1480,600373
1481,688101
1482,301330
1483,002644
1484,002506
1485,600250
1486,000729
1487,002724
1488,600033
1489,002906
1490,601113
1491,603020
1492,000717
1493,301129
1494,300066
1495,600226
1496,002595
1497,300706
1498,603088
1499,300130
1500,002008
1501,688428
1502,002276
1503,301091
1504,688208
1505,603606
1506,003005
1507,605368
1508,000333
1509,603530
1510,300532
1511,002121
1512,603337
1513,301509
1514,688004
1515,300766
1516,000419
1517,300287
1518,603755
1519,003042
1520,002196
1521,000544
1522,688403
1523,002163
1524,000564
1525,688209
1526,002249
1527,688489
1528,688613
1529,688352
1530,603038
1531,600389
1532,300772
1533,002344
1534,300496
1535,300545
1536,301089
1537,603093
1538,600676
1539,002224
1540,603125
1541,300002
1542,600208
1543,603268
1544,300498
1545,601128
1546,002532
1547,600369
1548,002035
1549,688334
1550,600805
1551,600382
1552,002206
1553,603078
1554,603698
1555,002456
1556,603178
1557,600486
1558,688390
1559,300213
1560,600655
1561,601555
1562,603239
1563,600866
1564,301566
1565,601108
1566,000686
1567,688057
1568,300691
1569,603098
1570,002434
1571,600595
1572,000813
1573,002296
1574,600548
1575,688110
1576,002766
1577,600725
1578,600261
1579,601880
1580,000728
1581,688168
1582,603009
1583,600665
1584,600959
1585,002992
1586,300472
1587,300113
1588,601311
1589,600246
1590,601236
1591,600066
1592,002340
1593,300910
1594,601619
1595,000581
1596,603611
1597,300047
1598,002708
1599,000736
1600,600860
1601,300132
1602,002379
1603,600073
1604,300715
1605,000988
1606,600081
1607,300271
1608,600758
1609,603991
1610,000597
1611,600439
1612,002323
1613,002272
1614,000030
1615,300916
1616,688625
1617,002208
1618,002062
1619,300201
1620,002987
1621,002108
1622,002957
1623,002125
1624,001311
1625,605005
1626,600325
1627,600212
1628,300969
1629,300315
1630,300624
1631,600283
1632,300993
1633,002312
1634,603171
1635,601226
1636,002984
1637,300666
1638,002034
1639,001318
1640,000913
1641,000429
1642,603803
1643,300415
1644,600619
1645,002538
1646,300815
1647,603992
1648,002050
1649,603005
1650,300094
1651,000425
1652,688433
1653,300131
1654,002933
1655,000603
1656,603029
1657,603131
1658,002267
1659,002936
1660,603160
1661,300849
1662,000791
1663,000572
1664,603533
1665,301100
1666,000735
1667,300390
1668,300269
1669,300919
1670,002320
1671,002255
1672,002438
1673,300119
1674,603019
1675,600429
1676,600653
1677,000928
1678,603351
1679,603799
1680,002753
1681,000709
1682,600359
1683,600135
1684,600035
1685,301373
1686,300065
1687,300348
1688,603638
1689,600613
1690,300892
1691,002597
1692,688188
1693,002405
1694,688158
1695,002996
1696,688591
1697,603663
1698,603317
1699,002193
1700,002575
1701,301221
1702,603296
1703,300032
1704,000980
1705,300926
1706,300398
1707,601319
1708,688063
1709,603565
1710,000917
1711,002461
1712,300699
1713,002065
1714,000969
1715,603786
1716,603040
1717,600061
1718,002263
1719,600169
1720,000701
1721,300673
1722,688767
1723,600637
1724,300332
1725,000426
1726,600170
1727,002047
1728,605133
1729,601163
1730,000885
1731,000557
1732,600105
1733,002133
1734,300245
1735,601058
1736,600517
1737,600435
1738,002247
1739,601339
1740,002374
1741,002086
1742,002235
1743,301310
1744,688027
1745,002429
1746,001223
1747,600179
1748,300329
1749,300275
1750,688185
1751,688682
1752,002990
1753,001239
1754,600909
1755,300549
1756,688549
1757,603859
1758,600118
1759,688122
1760,000488
1761,003025
1762,300852
1763,601997
1764,600284
1765,603738
1766,688535
1767,000554
1768,002402
1769,688195
1770,002032
1771,301116
1772,300278
1773,600523
1774,301285
1775,002565
1776,002999
1777,600300
1778,600851
1779,603360
1780,003019
1781,002897
1782,002967
1783,000886
1784,002596
1785,002426
1786,600654
1787,000509
1788,300943
1789,000888
1790,002440
1791,688486
1792,001965
1793,000987
1794,002889
