日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称
2025-01-02,300153,14.5,14.15,15.16,13.55,593772,856055906.0,10.17,-10.61,-1.68,18.65,科泰电源
2025-01-02,300212,23.08,22.35,23.54,21.98,187330,427128683.0,6.67,-4.49,-1.05,2.68,易华录
2025-01-02,300251,9.37,9.09,9.48,8.96,698620,659384111.0,5.63,-1.62,-0.15,2.51,光线传媒
2025-01-02,300287,4.18,4.23,4.41,4.1,818376,347334979.0,7.38,0.71,0.03,6.24,飞利信
2025-01-02,300454,57.02,54.95,57.57,54.39,56023,314440911.0,5.55,-4.17,-2.39,2.01,深信服
2025-01-02,300478,8.98,9.02,9.37,8.93,38647,35486634.0,4.88,0.11,0.01,3.05,杭州高新
2025-01-02,300530,16.93,16.7,17.44,16.53,28248,47864145.0,5.38,-1.36,-0.23,1.78,领湃科技
2025-01-02,300816,25.89,24.67,25.91,24.38,25293,63667021.0,5.99,-3.41,-0.87,5.55,艾可蓝
2025-01-02,301230,25.39,25.41,26.38,25.0,34935,89747824.0,5.41,-0.43,-0.11,4.55,泓博医药
2025-01-02,301396,19.99,20.02,20.52,19.34,38427,108323602.0,5.89,0.0,0.0,7.71,宏景科技
2025-01-02,301459,30.62,30.1,31.52,29.52,16137,64856235.0,6.5,-2.21,-0.68,8.07,丰茂股份
2025-01-02,301585,35.8,35.31,36.34,35.12,33861,158363035.0,3.43,-0.73,-0.26,17.85,蓝宇股份
2025-01-02,688315,12.53,12.03,12.56,11.75,23464,28835661.0,6.51,-3.37,-0.42,0.56,诺禾致源
2025-01-02,688358,24.43,24.09,24.67,24.01,7965,19319123.0,2.7,-1.35,-0.33,0.71,祥生医疗
2025-01-02,688393,17.34,16.99,17.58,16.75,7286,12626018.0,4.82,-1.28,-0.22,0.78,安必平
2025-01-02,688435,30.02,29.24,30.36,28.78,10108,29861401.0,5.24,-3.11,-0.94,2.19,英方软件
2025-01-02,835305,19.81,19.34,20.11,18.8,40999,80031323.8,6.45,-4.78,-0.97,5.06,云创数据
2025-01-02,873167,14.2,13.97,14.38,13.75,17267,24620028.45,4.51,0.0,0.0,4.13,新赣江
2025-01-03,300153,14.18,12.98,14.38,12.7,511624,674662907.0,11.87,-8.27,-1.17,16.07,科泰电源
2025-01-03,300212,22.34,21.04,22.46,20.92,185008,398340599.0,6.89,-5.86,-1.31,2.65,易华录
2025-01-03,300251,9.13,8.57,9.2,8.55,707300,636445220.0,7.15,-5.72,-0.52,2.54,光线传媒
2025-01-03,300287,4.22,3.89,4.23,3.87,883257,353634828.0,8.51,-8.04,-0.34,6.74,飞利信
2025-01-03,300454,55.05,52.82,55.41,52.74,56099,301638647.0,4.86,-3.88,-2.13,2.02,深信服
2025-01-03,300478,9.02,8.31,9.15,8.3,53431,45957764.0,9.42,-7.87,-0.71,4.22,杭州高新
2025-01-03,300530,16.7,15.77,16.9,15.75,31386,50589024.0,6.89,-5.57,-0.93,1.98,领湃科技
2025-01-03,300816,24.83,22.79,25.15,22.69,26126,61893710.0,9.97,-7.62,-1.88,5.73,艾可蓝
2025-01-03,301230,25.56,25.0,25.7,24.41,32636,81185759.0,5.08,-1.61,-0.41,4.25,泓博医药
2025-01-03,301396,20.06,19.39,20.42,19.23,35338,97663560.0,5.94,-3.15,-0.63,7.09,宏景科技
2025-01-03,301459,30.23,28.55,30.23,28.53,14033,54316788.0,5.65,-5.15,-1.55,7.02,丰茂股份
2025-01-03,301585,35.38,35.86,36.21,34.22,48577,225981305.0,5.64,1.56,0.55,25.61,蓝宇股份
2025-01-03,688315,12.06,11.82,12.25,11.71,34046,40963295.0,4.49,-1.75,-0.21,0.82,诺禾致源
2025-01-03,688358,24.2,23.49,24.56,23.26,6414,15413584.0,5.4,-2.49,-0.6,0.57,祥生医疗
2025-01-03,688393,17.03,16.65,17.23,16.62,8591,14564691.0,3.59,-2.0,-0.34,0.92,安必平
2025-01-03,688435,29.5,27.76,29.5,27.6,8614,24488337.0,6.5,-5.06,-1.48,1.87,英方软件
2025-01-03,835305,19.5,18.11,19.75,18.0,34967,65761655.21,9.05,-6.36,-1.23,4.31,云创数据
2025-01-03,873167,14.07,14.64,15.1,13.81,38066,56130464.05,9.23,4.8,0.67,9.11,新赣江
2025-01-06,300153,12.68,13.61,13.66,12.05,433483,567971293.0,12.4,4.85,0.63,13.62,科泰电源
2025-01-06,300212,21.0,20.82,21.32,20.52,116624,243484761.0,3.8,-1.05,-0.22,1.67,易华录
2025-01-06,300251,8.52,8.33,8.7,8.25,452554,391023910.0,5.25,-2.8,-0.24,1.63,光线传媒
2025-01-06,300287,3.85,3.87,3.95,3.72,558268,215347072.0,5.91,-0.51,-0.02,4.26,飞利信
2025-01-06,300454,53.02,52.49,53.43,51.91,42617,224639811.0,2.88,-0.62,-0.33,1.53,深信服
2025-01-06,300478,8.31,8.3,8.54,7.87,42098,34925997.0,8.06,-0.12,-0.01,3.32,杭州高新
2025-01-06,300530,15.85,15.83,16.06,15.01,23477,36676418.0,6.66,0.38,0.06,1.48,领湃科技
2025-01-06,300816,23.08,21.93,23.08,21.45,20375,45531209.0,7.15,-3.77,-0.86,4.47,艾可蓝
2025-01-06,301230,25.2,25.56,26.4,24.55,36421,92522688.0,7.4,2.24,0.56,4.74,泓博医药
2025-01-06,301396,19.49,20.69,20.74,19.26,56026,159491879.0,7.63,6.7,1.3,11.25,宏景科技
2025-01-06,301459,28.81,28.15,28.89,27.57,8389,31177675.0,4.62,-1.4,-0.4,4.19,丰茂股份
2025-01-06,301585,35.17,32.81,35.22,32.51,43776,192186938.0,7.56,-8.51,-3.05,23.08,蓝宇股份
2025-01-06,688315,11.84,11.83,12.12,11.56,23374,27808415.0,4.74,0.08,0.01,0.56,诺禾致源
2025-01-06,688358,23.6,23.84,24.22,23.08,5400,12905496.0,4.85,1.49,0.35,0.48,祥生医疗
2025-01-06,688393,16.82,16.73,16.94,16.22,4477,7498628.0,4.32,0.48,0.08,0.48,安必平
2025-01-06,688435,27.31,27.85,28.07,26.71,6034,16591039.0,4.9,0.32,0.09,1.31,英方软件
2025-01-06,835305,18.11,17.02,18.49,17.0,27207,47432641.08,8.23,-6.02,-1.09,3.35,云创数据
2025-01-06,873167,16.5,19.06,19.06,16.42,107423,192232963.6,18.03,30.19,4.42,25.71,新赣江
2025-01-07,300153,13.49,15.02,15.1,13.12,521412,746678631.0,14.55,10.36,1.41,16.38,科泰电源
2025-01-07,300212,20.93,21.31,21.38,20.81,98807,208354478.0,2.74,2.35,0.49,1.41,易华录
2025-01-07,300251,8.34,8.53,8.56,8.26,362400,312070839.0,3.6,2.4,0.2,1.3,光线传媒
2025-01-07,300287,3.91,4.1,4.1,3.9,737918,294735879.0,5.17,5.94,0.23,5.63,飞利信
2025-01-07,300454,52.66,53.59,53.71,52.66,37922,202314079.0,2.0,2.1,1.1,1.36,深信服
2025-01-07,300478,8.45,8.85,8.9,8.32,40380,34809175.0,6.99,6.63,0.55,3.19,杭州高新
2025-01-07,300530,16.78,16.39,16.87,15.7,35275,57005089.0,7.39,3.54,0.56,2.23,领湃科技
2025-01-07,300816,21.71,22.76,22.79,21.71,16212,36509461.0,4.92,3.78,0.83,3.56,艾可蓝
2025-01-07,301230,24.99,24.5,25.12,23.2,45896,110896417.0,7.51,-4.15,-1.06,5.97,泓博医药
2025-01-07,301396,20.69,21.24,21.24,20.55,58785,172498548.0,3.33,2.66,0.55,11.8,宏景科技
2025-01-07,301459,28.31,28.94,28.94,27.98,10548,39611107.0,3.41,2.81,0.79,5.27,丰茂股份
2025-01-07,301585,32.81,32.92,32.99,31.85,37014,157777071.0,3.47,0.34,0.11,19.52,蓝宇股份
2025-01-07,688315,11.83,11.78,11.9,11.56,21211,24979301.0,2.87,-0.42,-0.05,0.51,诺禾致源
2025-01-07,688358,23.75,23.84,23.87,23.3,6796,16006843.0,2.39,0.0,0.0,0.61,祥生医疗
2025-01-07,688393,16.72,17.07,17.1,16.46,6893,11665377.0,3.83,2.03,0.34,0.74,安必平
2025-01-07,688435,27.86,28.66,28.66,27.21,5910,16609048.0,5.21,2.91,0.81,1.28,英方软件
2025-01-07,835305,17.2,17.73,17.73,16.69,23749,40900392.9,6.11,4.17,0.71,2.93,云创数据
2025-01-07,873167,17.9,18.29,18.77,17.11,90237,162713219.76,8.71,-4.04,-0.77,21.6,新赣江
2025-01-08,300153,14.46,14.31,14.88,13.64,517978,740294304.0,8.26,-4.73,-0.71,16.27,科泰电源
2025-01-08,300212,21.4,21.09,21.55,20.39,126184,264999974.0,5.44,-1.03,-0.22,1.81,易华录
2025-01-08,300251,8.49,8.55,8.64,8.26,398584,345542615.0,4.45,0.23,0.02,1.43,光线传媒
2025-01-08,300287,4.11,4.1,4.15,3.92,731490,296732787.0,5.61,0.0,0.0,5.58,飞利信
2025-01-08,300454,53.36,52.86,53.82,51.44,35111,185385017.0,4.44,-1.36,-0.73,1.26,深信服
2025-01-08,300478,8.83,8.94,9.14,8.58,49102,43802111.0,6.33,1.02,0.09,3.88,杭州高新
2025-01-08,300530,16.25,16.2,16.4,15.6,26959,43353347.0,4.88,-1.16,-0.19,1.7,领湃科技
2025-01-08,300816,22.56,22.32,22.73,21.61,18525,41100659.0,4.92,-1.93,-0.44,4.06,艾可蓝
2025-01-08,301230,24.16,24.2,24.79,23.7,23574,57333887.0,4.45,-1.22,-0.3,3.07,泓博医药
2025-01-08,301396,21.25,21.04,21.44,20.39,52128,153615600.0,4.94,-0.94,-0.2,10.47,宏景科技
2025-01-08,301459,29.24,29.18,29.48,27.91,13945,52880201.0,5.43,0.83,0.24,6.97,丰茂股份
2025-01-08,301585,32.59,32.89,33.14,31.99,29955,128321532.0,3.49,-0.09,-0.03,15.79,蓝宇股份
2025-01-08,688315,11.8,11.64,11.81,11.25,25411,29451087.0,4.75,-1.19,-0.14,0.61,诺禾致源
2025-01-08,688358,23.7,23.9,24.03,23.3,4591,10898150.0,3.06,0.25,0.06,0.41,祥生医疗
